"Show me the current humidity levels in Cairo, Egypt." || "Cairo:B-CITY,Egypt:B-COUNTRY"
"Give me the humidity levels for Tokyo, Japan right now." || "Tokyo: B-CITY,Japan: B-COUNTRY"
"How's the weather looking in Rome, Italy this evening?" || "Rome: B-CITY ,Italy: B -COUNTRY"
"Is it raining in Sydney, Australia right now?" || "Sydney:B-CITY,Australia:B-COUNTRY"
"What are the current weather conditions in Tokyo, Japan?" || "Tokyo:B-CITY,Japan:B-COUNTRY"
"Can you give me the humidity levels for London, United Kingdom?" || "London:B-CITY,United Kingdom:B-COUNTRY"
"I need to know if it's snowing in Toronto, Canada right now." || "Toronto:B-CITY,Canada:B-COUNTRY"
"What's the air quality like in Beijing, China today?" || "Beijing:B-CITY,China: B-COUNTRY"
"How's the weather looking in Paris, France this evening?" || "Paris: B -CITY ,France: B -COUNTRY"
"I want to know the weather forecast for tomorrow in Sydney, Australia." || "Sydney:B-CITY,Australia:B-COUNTRY"
"What are the current weather conditions in London, United Kingdom?" || "London:B-CITY,United Kingdom:B-COUNTRY"
"Give me the air quality index for Beijing, China right now." || "Beijing:B-CITY,China:B-COUNTRY"
"I need to know if it's snowing in Toronto, Canada at this moment." || "Toronto:B-CITY,Canada:B-COUNTRY"
"What is the visibility like in Dubai, United Arab Emirates currently?" || "Dubai: B_CITY ,United Arab Emirates: B_COUNTRY"
"Is it raining in Sydney, Australia right now?" || "Sydney:B-CITY,Australia:B-COUNTRY"
"Can you give me the weather forecast for tomorrow in Paris, France?" || "Paris:B-CITY,France:B-COUNTRY"
"I want to know if it's snowing in Tokyo, Japan right now." || "Tokyo:B-CITY,Japan:B-COUNTRY"
"I need to know if there are any thunderstorms expected in London, United Kingdom." || "London:B-CITY,United Kingdom:B-COUNTRY"
"What are the current weather conditions in Sydney, Australia?" || "Sydney:B-CITY,Australia:B-COUNTRY"
"How hot is it currently in Dubai, United Arab Emirates?" || "Dubai: B_CITY ,United Arab Emirates: B_COUNTRY"
"Is it raining in Sydney, Australia right now?" || "Sydney:B-CITY,Australia:B-COUNTRY"
"Give me the weather forecast for tomorrow in Paris, France." || "Paris:B-CITY,France:B-COUNTRY"
"Can you tell me if it's snowing in Tokyo, Japan?" || "Tokyo:B-CITY,Japan:B-COUNTRY"
"What are the current weather conditions in London, United Kingdom?" || "London:B-CITY,United Kingdom:B-COUNTRY"
"How's the air quality in Beijing, China right now?" || "Beijing:B-CITY,China:B-COUNTRY"
"Is it raining in Sydney, Australia right now?" || "Sydney:B-CITY,Australia:B-COUNTRY"
"Give me the weather forecast for tomorrow in Paris, France." || "Paris:B-CITY,France:B-COUNTRY"
"Can you tell me the UV index for Tokyo, Japan today?" || "Tokyo:B-CITY,Japan:B-COUNTRY"
"I want to know if it's snowing in Toronto, Canada right now." || "Toronto:B-CITY,Canada:B-COUNTRY"
"What are the current weather conditions in London, United Kingdom?" || "London:B-CITY,United Kingdom:B-COUNTRY"
"How's the air quality in Beijing, China today?" || "Beijing:B-CITY,China:B-COUNTRY"
"Is it raining in Sydney, Australia right now?" || "Sydney:B-CITY,Australia:B-COUNTRY"
"Give me the weather forecast for tomorrow in Paris, France." || "Paris:B-CITY,France:B-COUNTRY"
"Can you tell me the UV index for Tokyo, Japan today?" || "Tokyo:B-CITY,Japan:B-COUNTRY"
"I want to know if it's snowing in Toronto, Canada right now." || "Toronto:B-CITY,Canada:B-COUNTRY"
"What are the current weather conditions in London, United Kingdom?" || "London:B-CITY,United Kingdom:B-COUNTRY"
"How's the air quality in Beijing, China today?" || "Beijing:B-CITY,China:B-COUNTRY"
"Is it raining in Sydney, Australia right now?" || "Sydney:B-CITY,Australia:B-COUNTRY"
"Give me the weather forecast for tomorrow in Paris, France." || "Paris:B-CITY,France:B-COUNTRY"
"Can you tell me if it's snowing in Tokyo, Japan?" || "Tokyo:B-CITY,Japan:B-COUNTRY"
"What are the current weather conditions in London, United Kingdom?" || "London:B-CITY,United Kingdom:B-COUNTRY"
"How's the air quality in Beijing, China right now?" || "Beijing:B-CITY,China:B-COUNTRY"
